"Gene","ATF7"
"A14GALT",0
"A1BG",0
"A1CF",0
"A225490",0
"A2BP1",0
"A2LD1",0
"A2LP",0
"A2M",0
"A2ML1",-0.157
"A4GALT",0
"A4GNT",0
"A533284",0
"A746290",0
"A748492",0
"A836114",0
"AA150211",0
"AA442488",0
"AA541413",0
"AA666384",0
"AA837799",0
"AA968804",0
"AAAS",0
"AACS",-0.0091
"AADAC",0
"AADACL1",-3.387
"AADACL2",0
"AADACL3",0
"AADACL4",0
"AADAT",-0.2715
"AAED1",0
"AAGAB",0
"AAMDC",0
"AAMP",0
"AA0.0T",0
"AAR2",0
"AARD",0
"AARS",4.3794
"AARS2",0
"AARSD1",0
"AASDH",-0.4171
"AASDH",0.085
"AASDH",-0.3547
"AASDHPPT",0
"AASS",-0.0815
"AATF",0.15
"AATF",0.1074
"AATK",0.0665
"AATK",0.0076
"AB019568",0
"AB062480",0
"AB371542",0
"ABAT",3.3926
"ABCA1",-0.1508
"ABCA1",-0.0627
"ABCA10",0
"ABCA12",-0.3157
"ABCA13",0
"ABCA2",-0.2657
"ABCA3",0
"ABCA4",0
"ABCA5",0.8811
"ABCA5",0.4056
"ABCA6",0
"ABCA7",0
"ABCA8",0
"ABCA9",0
"ABCB1",0
"ABCB10",0
"ABCB11",0
"ABCB3",0
"ABCB4",0
"ABCB5",0
"ABCB6",0
"ABCB7",0
"ABCB8",0
"ABCB9",0
"ABCC1",0
"ABCC10",0
"ABCC11",0
"ABCC12",0
"ABCC3",0
"ABCC4",-0.0391
"ABCC4",-0.0054
"ABCC4",-0.1311
"ABCC5",0
"ABCC6",0
"ABCC8",0
"ABCC9",0
"ABCD1",0
"ABCD2",0
"ABCD3",0
"ABCD4",0
"ABCE1",0
"ABCF1",0
"ABCF2",0
"ABCF3",0
"ABCG1",-0.3876
"ABCG2",0
"ABCG4",0.1565
"ABCG5",0
"ABCG8",0
"ABCR",0
"ABF-1",0
"ABHD1",-0.6511
"ABHD1",-0.138
"ABHD10",-0.2351
"ABHD10",-1.0266
"ABHD10",-0.0403
"ABHD11",0.3305
"ABHD11",-0.4203
"ABHD12",0
"ABHD12B",0
"ABHD13",0
"ABHD14A",0
"ABHD14A-ACY1",0
"ABHD14B",0
"ABHD15",0
"ABHD16A",0
"ABHD16B",0
"ABHD17A",0
"ABHD17B",0
"ABHD17C",0
"ABHD18",0
"ABHD2",0
"ABHD3",0.1518
"ABHD4",0
