"Gene","ATF5"
"ACTL8",0
"ACTL9",0
"ACTN1",0
"ACTN2",0
"ACTN3",0
"ACTN4",0
"ACTR10",0
"ACTR1A",0
"ACTR1B",0
"ACTR2",0
"ACTR3",0.1452
"ACTR3",0.6091
"ACTR3",1.0872
"ACTR3B",0.0877
"ACTR3B",-0.3762
"ACTR3C",0
"ACTR5",-0.05
"ACTR6",0
"ACTR8",-0.1506
"ACTRT1",0
"ACTRT2",0
"ACTRT3",0
"ACVR1",-0.8505
"ACVR1B",0.4086
"ACVR1B",-0.4351
"ACVR1C",0
"ACVR2A",0
"ACVR2B",0.2994
"ACVRL1",-0.2658
"ACVRL1",-0.1278
"ACY1",0
"ACY3",0
"ACYP1",0
"ACYP2",0
"AD013",0
"AD023",0
"AD3LPAD5",0
"AD7C-NTP",0
"ADA",-0.5506
"ADAD1",0
"ADAD2",0
"ADAL",0
"ADAM10",0
"ADAM11",0
"ADAM12",0
"ADAM15",0
"ADAM17",0
"ADAM18",0
"ADAM19",0
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0
"ADAM23",0
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",-0.3881
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",0
"ADAM9",-3.9857
"ADAM9",-0.181
"ADAMDEC1",-0.4631
"ADAMTS1",-0.5312
"ADAMTS1",-0.6941
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0
"ADAMTS14",0
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",0
"ADAMTS3",0.0924
"ADAMTS3",0.0849
"ADAMTS4",0
"ADAMTS5",0
"ADAMTS6",-0.0071
"ADAMTS6",0.0889
"ADAMTS7",0
"ADAMTS8",0
"ADAMTS9",-0.0855
"ADAMTS9",0.1651
"ADAMTSL1",-0.1173
"ADAMTSL1",-0.1816
"ADAMTSL2",0
"ADAMTSL3",0.1251
"ADAMTSL3",-0.0485
"ADAMTSL4",-0.1668
"ADAMTSL4",-0.2576
"ADAMTSL4",-0.0494
"ADAMTSL5",0
"ADAP1",0
"ADAP2",0
"ADAR",0
