"Gene","CREB5"
"ADAD2",0
"ADAL",0
"ADAM10",0
"ADAM11",0
"ADAM12",0
"ADAM15",0
"ADAM17",0
"ADAM18",0
"ADAM19",0
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0
"ADAM23",0
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",0.0087
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",0
"ADAM9",2.9006
"ADAM9",-0.0353
"ADAMDEC1",0.0303
"ADAMTS1",-0.0831
"ADAMTS1",-0.1102
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0
"ADAMTS14",0
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",0
"ADAMTS3",0.4326
"ADAMTS3",0.1885
"ADAMTS4",0
"ADAMTS5",0
"ADAMTS6",0.6413
"ADAMTS6",-0.1493
"ADAMTS7",0
"ADAMTS8",0
"ADAMTS9",0.5412
"ADAMTS9",-0.2908
"ADAMTSL1",0.4065
"ADAMTSL1",0.5065
"ADAMTSL2",0
"ADAMTSL3",0.5663
"ADAMTSL3",0.2138
"ADAMTSL4",0.0374
"ADAMTSL4",0.1845
"ADAMTSL4",0.0072
"ADAMTSL5",0
"ADAP1",0
"ADAP2",0
"ADAR",0
"ADAR3",0
"ADARB1",1.1315
"ADARB1",0.0856
"ADARB2",0
"ADAT1",0
"ADAT2",0
"ADAT3",0
"ADC",0.1985
"ADC",0.1085
"ADCK1",0.2221
"ADCK2",0.4424
"ADCK2",0.0237
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",0.232
"ADCY3",-0.4351
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",0
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",-0.2885
"ADD1",0.0467
"ADD2",0
"ADD3",0.4859
"ADD3",-1.0732
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",0
"ADH6",0
"ADH7",0
"ADHFE1",0
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",0.4111
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",2.1639
"ADNP",-0.6829
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",-0.5093
